"","X","species","month","year","lat","lon","present","tavg","prec","bare","tree","grass","cropland","elev","wetland"
"1",25877,"Boletus edulis",9,1996,52.78363,1.038347,1,13.8000001907349,60,0.00410000002011657,0.034000001847744,0.230700001120567,0.717700004577637,50,0
"2",26353,"Boletus edulis",8,1993,51.372422,-0.349238,1,17.2999992370605,48,0.0176999997347593,0.607100009918213,0.232299998402596,0.000699999975040555,22,0
"3",26914,"Boletus edulis",8,1993,57.585015,-2.08528,1,13.6000003814697,63,0.0138999996706843,0.204600006341934,0.505400002002716,0.0474999994039536,65,0
"4",26853,"Boletus edulis",11,2002,51.257296,0.936579,1,6.69999980926514,77,0.000199999994947575,0.269300013780594,0.216100007295609,0.514400005340576,93,0
"5",26327,"Boletus edulis",11,1971,53.444924,-0.721709,1,6.59999990463257,49,0.011400000192225,0.123000003397465,0.429500013589859,0.39070001244545,19,0
"6",25751,"Boletus edulis",11,1990,51.827981,-2.51653,1,6.90000009536743,84,0.00669999979436398,0.260300010442734,0.159299999475479,0.00689999992027879,154,0
"7",28740,"Boletus edulis",9,2020,54.940419,-2.310733,1,11.8000001907349,72,0.00249999994412065,0.835799992084503,0.161699995398521,0,174,0
"8",25749,"Boletus edulis",8,2022,55.245259,-2.587934,1,13.1999998092651,95,0.0044999998062849,0.807699978351593,0.186199992895126,9.99999974737875e-05,267,0
"9",25490,"Boletus edulis",9,1998,57.025562,-3.327697,1,9.39999961853027,98,0,0.095600001513958,0.904399991035461,0,492,0
"10",26221,"Boletus edulis",8,1999,54.346383,-3.001427,1,13.6999998092651,141,0.00430000014603138,0.868799984455109,0.126900002360344,0,216,0
"11",26577,"Boletus edulis",9,1995,54.980484,-7.297922,1,12.8000001907349,130,0.0487999990582466,0.402200013399124,0.365099996328354,0.00230000005103648,57,0
"12",26488,"Boletus edulis",11,1996,51.382272,-1.354772,1,7,75,0.00650000013411045,0.417699992656708,0.337999999523163,0.1841000020504,122,0
"13",28739,"Boletus edulis",9,2020,53.442462,-2.771302,1,13.3000001907349,82,0.00300000002607703,0.298700004816055,0.614499986171722,0,70,0
"14",26806,"Boletus edulis",10,2000,54.353091,-7.616259,1,10,131,0.0165999997407198,0.223199993371964,0.530399978160858,0,61,0
"15",28506,"Boletus edulis",10,2001,53.430469,-2.889456,1,10.3000001907349,87,0.00219999998807907,0.36149999499321,0.415199995040894,0,29,0
"16",26034,"Boletus edulis",8,1991,50.70176,1.71297,1,17.1000003814697,50,0,0.916999995708466,0.0632999986410141,0.0197000000625849,94,0
"17",28218,"Boletus edulis",10,2005,52.502797,-2.377089,1,9.89999961853027,73,0.00270000007003546,0.811699986457825,0.0281000006943941,0.106700003147125,66,0
"18",26154,"Boletus edulis",10,1983,53.173641,-0.58017,1,10.3999996185303,47,0.000699999975040555,0.0176999997347593,0.209199994802475,0.77240002155304,7,0
"19",28785,"Boletus edulis",9,2015,52.882249,-0.670756,1,13.3999996185303,57,0.00270000007003546,0.379700005054474,0.19820000231266,0.400700002908707,126,0
"20",25289,"Boletus edulis",9,2017,52.935844,1.127717,1,13.8000001907349,58,0.000899999984540045,0.518199980258942,0.0668999999761581,0.408899992704391,53,0
"21",28208,"Boletus edulis",10,2010,51.457548,-2.762054,1,10.6999998092651,95,0.00139999995008111,0.796999990940094,0.17790000140667,0.000500000023748726,105,0
"22",27849,"Boletus edulis",10,2004,55.072312,-7.922482,1,10.3000001907349,190,0,0.120600000023842,0.869700014591217,0,36,0.00970000028610229
"23",28544,"Boletus edulis",10,2013,53.077553,-3.867437,1,9.30000019073486,139,0,0.00669999979436398,0.993300020694733,0,271,0
"24",27275,"Boletus edulis",9,1974,52.642537,-1.779755,1,13.1000003814697,62,0.00270000007003546,0.0458999983966351,0.132200002670288,0.809000015258789,101,0
"25",27892,"Boletus edulis",10,2000,52.963164,1.05093,1,10.6000003814697,64,0.102300003170967,0,0.159600004553795,0,1,0.487800002098083
"26",26255,"Boletus edulis",7,2004,54.889717,-2.079475,1,13.6999998092651,78,0.00879999995231628,0.817799985408783,0.162799999117851,0,350,0
"27",25789,"Boletus edulis",10,2000,52.245705,1.616846,1,11.3000001907349,55,0.00410000002011657,0.238999992609024,0.335500001907349,0.00240000011399388,3,0.388099998235703
"28",25609,"Boletus edulis",10,1999,57.517672,-2.026695,1,8.30000019073486,73,0.00609999988228083,0.532599985599518,0.420800000429153,0,60,0
"29",26272,"Boletus edulis",9,1971,53.444924,-0.721709,1,13.6999998092651,50,0.011400000192225,0.123000003397465,0.429500013589859,0.39070001244545,19,0
"30",28752,"Boletus edulis",7,2020,53.226418,-4.097763,1,15.8000001907349,67,0.0015999999595806,0.565199971199036,0.420899987220764,0,43,0
"31",27303,"Boletus edulis",11,1995,53.083514,-6.284502,1,5.40000009536743,138,0,0.00329999998211861,0.99669998884201,0,443,0
"32",26480,"Boletus edulis",10,2003,52.993874,-3.416825,1,9,105,0,0.130500003695488,0.787999987602234,0.0810000002384186,244,0
"33",27154,"Boletus edulis",10,1995,55.606515,-2.715832,1,8.89999961853027,82,0.00109999999403954,0.125900000333786,0.432599991559982,0.379000008106232,90,0
"34",25909,"Boletus edulis",10,2014,56.25077,-3.082867,1,8.60000038146973,78,0.025000000372529,0.00970000028610229,0.656599998474121,0.307300001382828,154,0
"35",27915,"Boletus edulis",8,2001,51.729788,-0.191445,1,16.3999996185303,53,0.0189999993890524,0.394400000572205,0.485000014305115,0.0187999997287989,120,0
