"","species","scientificName","verbatimScientificName","decimalLatitude","decimalLongitude","day","month","year"
"1","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",55.494136,-4.45506,12,10,2004
"2","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.379077,-3.079014,22,9,1997
"3","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.376078,-3.366302,7,9,2019
"4","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.560118,-2.939038,10,8,2020
"5","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.741885,-2.653137,NA,NA,1980
"7","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.465968,-3.368986,16,7,2007
"8","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.733844,-3.521882,28,9,2016
"9","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.460132,-3.800657,24,8,2019
"10","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",54.308872,-1.630503,17,9,2022
"11","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",53.933271,-2.961043,NA,NA,1991
"12","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",53.701652,-2.652806,NA,NA,1999
"13","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",53.628411,-2.863372,NA,NA,1996
"14","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",53.77075,-3.048362,NA,NA,2015
"15","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",51.624056,-4.92616,21,12,2006
"16","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",52.731161,-1.50609,12,9,2022
"17","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",52.706858,-1.318397,28,9,2022
"18","Calvatia gigantea","Calvatia gigantea (Batsch) Lloyd","Calvatia gigantea",50.978017,-0.497512,6,10,2022
