"","species","lat","lon","month","year"
"114","Calvatia gigantea",52.462735,-2.222203,7,1982
"115","Calvatia gigantea",52.822321,-2.224035,9,1997
"116","Calvatia gigantea",52.552634,-2.222657,6,1982
"117","Calvatia gigantea",52.552634,-2.222657,10,1994
"119","Calvatia gigantea",53.002294,-2.075955,9,2000
"120","Calvatia gigantea",53.092002,-1.77747,10,1997
"121","Calvatia gigantea",52.642537,-1.779755,10,2004
"122","Calvatia gigantea",52.732433,-1.779303,9,2006
"123","Calvatia gigantea",53.002105,-2.224966,10,2001
"124","Calvatia gigantea",52.215471,0.735861,10,2000
"125","Calvatia gigantea",52.318379,1.59342,10,2014
"126","Calvatia gigantea",52.327185,0.566624,10,2004
"127","Calvatia gigantea",52.215471,0.735861,10,1996
"128","Calvatia gigantea",52.4951,1.696247,1,2006
"129","Calvatia gigantea",52.086989,0.84478,9,2003
"130","Calvatia gigantea",52.395748,0.717602,9,2003
"131","Calvatia gigantea",52.281595,1.619771,8,1999
"132","Calvatia gigantea",52.397084,0.658882,9,2015
"133","Calvatia gigantea",52.35604,1.537717,9,1992
"134","Calvatia gigantea",52.134225,1.110855,10,2000
"135","Calvatia gigantea",52.215471,0.735861,10,1998
"136","Calvatia gigantea",52.3048,1.44559,11,2014
"137","Calvatia gigantea",52.404466,1.718072,7,2006
"138","Calvatia gigantea",52.387443,1.687237,10,2001
"139","Calvatia gigantea",52.276296,1.179449,5,2004
"140","Calvatia gigantea",52.215471,0.735861,10,1999
"141","Calvatia gigantea",52.215471,0.735861,10,2003
"142","Calvatia gigantea",52.134992,1.081678,10,1974
"143","Calvatia gigantea",52.209815,1.613927,7,2008
"144","Calvatia gigantea",52.4951,1.696247,9,2006
"145","Calvatia gigantea",52.174816,1.581826,9,1998
"146","Calvatia gigantea",52.215471,0.735861,10,2004
"147","Calvatia gigantea",52.245705,1.616846,9,1983
"148","Calvatia gigantea",52.272261,1.325771,10,2014
"149","Calvatia gigantea",52.464593,1.516971,9,2009
"150","Calvatia gigantea",52.873398,1.044622,10,1987
"151","Calvatia gigantea",52.502222,1.461022,9,1992
"152","Calvatia gigantea",52.704379,0.588709,10,2001
"153","Calvatia gigantea",52.697551,0.884338,11,1995
"154","Calvatia gigantea",52.693861,1.032106,10,1994
"155","Calvatia gigantea",52.697551,0.884338,8,1994
"156","Calvatia gigantea",52.794182,0.59404,10,1996
"157","Calvatia gigantea",52.693861,1.032106,8,1980
"158","Calvatia gigantea",52.873398,1.044622,9,1979
"159","Calvatia gigantea",52.693861,1.032106,11,1996
"160","Calvatia gigantea",52.693861,1.032106,9,1994
"161","Calvatia gigantea",52.779744,1.186386,8,1994
"162","Calvatia gigantea",52.689987,1.179842,10,1983
"163","Calvatia gigantea",52.97043,0.753532,4,2002
"164","Calvatia gigantea",52.697551,0.884338,9,2002
"165","Calvatia gigantea",52.779744,1.186386,10,2003
"166","Calvatia gigantea",52.873398,1.044622,9,2001
"167","Calvatia gigantea",52.689987,1.179842,9,1998
"168","Calvatia gigantea",52.502222,1.461022,10,2000
"169","Calvatia gigantea",52.775673,1.334389,10,1992
"170","Calvatia gigantea",52.689987,1.179842,4,1978
"171","Calvatia gigantea",52.510468,1.166857,9,1998
"172","Calvatia gigantea",52.963164,1.05093,9,2002
"173","Calvatia gigantea",52.689987,1.179842,9,1999
"174","Calvatia gigantea",52.787332,0.890276,8,1993
"175","Calvatia gigantea",52.693861,1.032106,9,1977
"176","Calvatia gigantea",52.591956,1.468096,9,2000
"177","Calvatia gigantea",52.873398,1.044622,10,1991
"178","Calvatia gigantea",52.693861,1.032106,7,1976
"179","Calvatia gigantea",52.614573,0.583406,10,2001
"180","Calvatia gigantea",52.697551,0.884338,10,1999
"181","Calvatia gigantea",52.689987,1.179842,7,1982
"182","Calvatia gigantea",52.693861,1.032106,5,1977
"183","Calvatia gigantea",52.775673,1.334389,8,1996
"184","Calvatia gigantea",52.689987,1.179842,10,1977
"185","Calvatia gigantea",52.506436,1.313957,9,1999
"186","Calvatia gigantea",52.60409,1.025898,7,1979
"187","Calvatia gigantea",52.600228,1.173332,9,1991
"188","Calvatia gigantea",52.79085,0.742173,8,1982
"189","Calvatia gigantea",52.775673,1.334389,8,1998
"190","Calvatia gigantea",52.697551,0.884338,10,2001
"191","Calvatia gigantea",52.502222,1.461022,9,2009
"192","Calvatia gigantea",52.600228,1.173332,9,1996
"193","Calvatia gigantea",52.596184,1.320732,7,2002
"194","Calvatia gigantea",52.873398,1.044622,9,1996
"195","Calvatia gigantea",52.517983,0.872556,3,1978
"196","Calvatia gigantea",52.693861,1.032106,9,2002
"197","Calvatia gigantea",52.596184,1.320732,9,2001
"198","Calvatia gigantea",52.779744,1.186386,12,1999
"199","Calvatia gigantea",52.869499,1.192965,10,1995
"200","Calvatia gigantea",52.510468,1.166857,9,2010
"201","Calvatia gigantea",52.693861,1.032106,11,1978
"202","Calvatia gigantea",52.693861,1.032106,10,1980
"203","Calvatia gigantea",52.517983,0.872556,8,1996
"204","Calvatia gigantea",52.693861,1.032106,9,2002
"205","Calvatia gigantea",52.873398,1.044622,12,1976
"206","Calvatia gigantea",52.766979,1.630285,10,1994
"207","Calvatia gigantea",52.681688,1.475207,4,1999
"208","Calvatia gigantea",52.685929,1.327543,8,2002
"209","Calvatia gigantea",52.697551,0.884338,11,1995
"210","Calvatia gigantea",52.775673,1.334389,10,1995
"211","Calvatia gigantea",56.359629,-2.956472,10,1999
